国家 Name,国家 Code,系列 Name,系列 Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
美国,USA,人均调整国民收入净额（每年％的增长）,NY.ADJ.NNTY.PC.KD.ZG,..,1.528913413,3.667193813,5.116334695,-5.281586066,-1.427520338,3.651252573,3.363750998,4.12438376,-1.850044276,-3.36184898,3.305369596,-0.086840387,2.462075313,7.174776975,3.330950904,2.628600159,2.835163095,4.871674978,1.250634998,0.080711764,-0.883397008,2.055422704,0.979843269,3.268348875,2.049032238,3.241404882,4.141287433,4.717963723,2.978144723,2.450725292,0.919245554,0.433615072,1.523737963,2.756831194,1.576584051,2.556143137,-0.430767032,-3.341522876,-2.157815093,2.347511873,1.546138338,3.511423034,0.588358264,2.860249633,2.426321177,-0.158889784,2.177755236,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from Database: 世界发展指标,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
